Country,n
Afghanistan,52.41704109
Albania,18.63878032
Algeria,32.83308539
American Samoa,6.300155035
Andorra,9.066401367
Angola,28.4208104
Antigua and Barbuda,17.59200058
Argentina,13.51118918
Armenia,33.65637939
Aruba,
Australia,6.745497859
Austria,12.16821803
Azerbaijan,25.4950546
"Bahamas, The",15.59065792
Bahrain,59.21710593
Bangladesh,63.4255285
Barbados,21.34389367
Belarus,16.42351285
Belgium,12.6724532
Belize,21.17639652
Benin,46.8584555
Bermuda,7.069562328
Bhutan,40.29859817
Bolivia,26.83286559
Bosnia and Herzegovina,29.46633319
Botswana,24.71873626
Brazil,11.65399121
British Virgin Islands,
Brunei Darussalam,7.680643971
Bulgaria,19.36594583
Burkina Faso,53.67033962
Burundi,33.27977863
Cabo Verde,51.11721004
Cambodia,22.1120864
Cameroon,64.47088106
Canada,7.100156005
Cayman Islands,
Central African Republic,46.3767539
Chad,59.2825236
Chile,22.76585719
China,47.67263439
Colombia,22.01072747
Comoros,17.15567571
"Congo, Dem. Rep.",35.86088793
"Congo, Rep.",39.30341272
Costa Rica,17.42174135
Cote d'Ivoire,55.62337378
Croatia,18.46495986
Cuba,17.72659724
Curacao,
Cyprus,15.57380293
Czechia,16.75140093
Denmark,9.785959755
Djibouti,43.16577438
Dominica,18.60844325
Dominican Republic,17.72938154
Ecuador,19.97447395
"Egypt, Arab Rep.",67.88817813
El Salvador,22.32472418
Equatorial Guinea,45.28465901
Eritrea,44.07053957
Estonia,5.893562381
Eswatini,23.34521196
Ethiopia,33.7807199
Faroe Islands,
Fiji,10.9932094
Finland,5.565330197
France,11.40575038
French Polynesia,
Gabon,36.74675483
"Gambia, The",58.08072376
Georgia,17.85586499
Germany,11.80580716
Ghana,53.98926008
Gibraltar,
Greece,14.2538714
Greenland,6.462977097
Grenada,21.48591655
Guam,8.221834725
Guatemala,27.64788197
Guinea,52.51253174
Guinea-Bissau,54.06829369
Guyana,20.10090382
Haiti,19.03230796
Honduras,22.87512366
"Hong Kong SAR, China",
Hungary,16.49434933
Iceland,5.698616135
India,83.19931634
Indonesia,19.37146134
"Iran, Islamic Rep.",38.01508315
Iraq,48.46825216
Ireland,7.854094218
Isle of Man,
Israel,19.75989688
Italy,16.08828133
Jamaica,15.28940246
Japan,13.46980666
Jordan,30.64558855
Kazakhstan,20.29485447
Kenya,21.61458718
Kiribati,9.468882294
"Korea, Dem. People's Rep.",44.32957478
"Korea, Rep.",27.44033926
Kuwait,60.96648013
Kyrgyz Republic,24.07288994
Lao PDR,20.54733513
Latvia,12.01165835
Lebanon,28.96029994
Lesotho,27.52281327
Liberia,50.59973692
Libya,38.59119845
Liechtenstein,
Lithuania,10.37350411
Luxembourg,10.06890585
"Macao SAR, China",
Madagascar,17.8593854
Malawi,22.34665143
Malaysia,16.59099631
Maldives,10.94405416
Mali,60.62414043
Malta,12.9910498
Marshall Islands,9.044039796
Mauritania,66.8117824
Mauritius,14.91383169
Mexico,20.12401203
"Micronesia, Fed. Sts.",10.38285056
Moldova,13.74739724
Monaco,11.66888949
Mongolia,38.05757134
Montenegro,21.25685256
Morocco,35.05284088
Mozambique,20.77406654
Myanmar,29.43314277
Namibia,24.19978552
Nauru,5.857163356
Nepal,83.10319363
Netherlands,12.0392862
New Caledonia,
New Zealand,6.048305496
Nicaragua,20.43900913
Niger,80.10926696
Nigeria,70.39625682
North Macedonia,30.26931856
Northern Mariana Islands,8.151978907
Norway,6.642383374
Oman,44.57247023
Pakistan,62.57424987
Palau,6.873805482
Panama,13.20059479
Papua New Guinea,16.2311858
Paraguay,12.51891553
Peru,30.82669477
Philippines,18.82613108
Poland,22.6420051
Portugal,8.254802244
Puerto Rico,6.85168132
Qatar,76.04929303
Romania,15.67108952
Russian Federation,11.59553193
Rwanda,36.18491574
Samoa,11.01483371
San Marino,9.906728131
Sao Tome and Principe,31.05885758
Saudi Arabia,61.50824107
Senegal,60.21139678
Serbia,25.35417205
Seychelles,15.5639189
Sierra Leone,51.09606544
Singapore,18.76588248
Sint Maarten (Dutch part),
Slovak Republic,18.36521464
Slovenia,16.96940443
Solomon Islands,12.89495904
Somalia,30.36142727
South Africa,28.67475434
South Sudan,37.55277786
Spain,9.728788477
Sri Lanka,19.96439581
St. Kitts and Nevis,8.789142812
St. Lucia,21.22131742
St. Martin (French part),
St. Vincent and the Grenadines,21.12973864
Sudan,54.67729786
Suriname,21.17742119
Sweden,5.647572855
Switzerland,9.902709701
Syrian Arab Republic,30.95362503
Tajikistan,38.31858602
Tanzania,24.74048013
Thailand,27.40271356
Timor-Leste,15.65130893
Togo,46.21037553
Tonga,10.58622123
Trinidad and Tobago,21.97072547
Tunisia,30.42981942
Turkiye,26.03180162
Turkmenistan,26.19766251
Turks and Caicos Islands,
Tuvalu,6.02840838
Uganda,35.21822646
Ukraine,14.53144476
United Arab Emirates,43.66702552
United Kingdom,10.09284402
United States,7.663692516
Uruguay,9.533862914
Uzbekistan,34.78609557
Vanuatu,12.88296752
"Venezuela, RB",21.74698878
Viet Nam,20.3898157
Virgin Islands (U.S.),8.996021018
West Bank and Gaza,31.30254529
"Yemen, Rep.",44.46696713
Zambia,25.92546019
Zimbabwe,20.83469969
